City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Zaozhuang,CN,2020-11-08 22:08:46,34.86,117.55,43.88,52,23,3.24,
265,Maniitsoq,GL,2020-11-08 22:08:46,65.42,-52.9,16.21,79,0,18.3,
266,Khaga,IN,2020-11-08 22:08:46,25.78,81.12,64.6,29,0,3.38,
267,Tuatapere,NZ,2020-11-08 22:08:46,-46.13,167.68,54.0,76,96,8.01,
268,Mao,ES,2020-11-08 22:03:59,39.89,4.27,57.2,93,94,3.36,
269,Padang,ID,2020-11-08 22:08:47,-0.95,100.35,76.57,76,98,4.09,
270,Sahibganj,IN,2020-11-08 22:08:07,25.25,87.65,66.22,67,0,2.64,
271,Bagan,RU,2020-11-08 22:08:47,54.1,77.66,37.58,79,78,17.05,
272,Comodoro Rivadavia,AR,2020-11-08 22:08:47,-45.87,-67.5,73.4,31,0,13.87,
273,Nyurba,RU,2020-11-08 22:08:47,63.28,118.33,-2.97,90,10,4.45,
274,May Pen,JM,2020-11-08 22:07:01,17.96,-77.25,78.8,100,75,9.17,
275,Bonanza,NI,2020-11-08 22:08:48,14.03,-84.59,80.38,93,100,1.03,
276,Waingapu,ID,2020-11-08 22:04:26,-9.66,120.26,80.64,70,93,5.32,
277,Bidor,MY,2020-11-08 22:08:48,4.11,101.29,77.0,94,20,2.8,
278,Huancavelica,PE,2020-11-08 22:08:48,-12.77,-74.98,48.99,54,78,9.35,
279,Dhidhdhoo,MV,2020-11-08 22:08:48,6.88,73.1,82.99,76,71,9.08,
280,Figeac,FR,2020-11-08 22:08:49,44.75,1.92,53.6,87,0,6.93,
281,Coaldale,CA,2020-11-08 22:08:49,49.72,-112.62,17.01,92,90,26.4,
282,Znamenskoye,RU,2020-11-08 22:08:49,57.13,73.83,33.28,91,100,10.94,
283,Okha,RU,2020-11-08 22:07:49,53.57,142.95,23.34,96,98,23.22,
284,Alexandria,EG,2020-11-08 22:08:49,31.22,29.96,66.2,88,40,5.82,
285,Lixourion,GR,2020-11-08 22:08:50,38.2,20.43,62.15,64,0,4.94,
286,Sorland,NO,2020-11-08 22:07:20,67.67,12.69,42.8,75,75,23.04,
287,Touros,BR,2020-11-08 22:04:58,-5.2,-35.46,77.0,94,75,6.93,
288,Lashio,MM,2020-11-08 22:08:50,22.93,97.75,59.61,95,3,1.5,
289,Biltine,TD,2020-11-08 22:08:50,14.53,20.92,77.07,24,66,10.29,
290,Shenjiamen,CN,2020-11-08 22:08:50,29.96,122.3,59.16,66,0,17.34,
291,Cap-Aux-Meules,CA,2020-11-08 22:08:51,47.38,-61.86,33.8,69,25,2.24,
292,Kattivakkam,IN,2020-11-08 22:08:51,13.22,80.32,77.0,83,40,12.48,
293,Tandil,AR,2020-11-08 22:08:51,-37.32,-59.13,67.69,68,12,7.02,
294,Kyaukse,MM,2020-11-08 22:08:52,21.6,96.13,70.05,87,0,1.92,
295,Portland,US,2020-11-08 22:07:27,45.52,-122.68,48.99,49,20,4.7,
296,Camacha,PT,2020-11-08 22:08:52,33.08,-16.33,64.4,77,40,8.05,
297,Polunochnoye,RU,2020-11-08 22:08:52,60.87,60.42,27.68,98,100,5.32,
