City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2389,Cabedelo,BR,77.0,broken clouds,-6.98,-34.83,Lua Mansa Pousada
2399,Dzilam Gonzalez,MX,76.03,light rain,21.28,-88.93,Amina
2401,Mogadishu,SO,78.44,overcast clouds,2.04,45.34,Hotel Juba
2402,Ojinaga,MX,78.8,clear sky,29.57,-104.42,Suites Las Palmas
2403,Kalmunai,LK,81.64,moderate rain,7.42,81.82,VS Villa
2406,Cururupu,BR,77.81,few clouds,-1.83,-44.87,Pousada Través'cia
2409,Kathu,TH,78.8,few clouds,7.92,98.33,Novotel Phuket Resort
2412,Mount Gambier,AU,82.4,overcast clouds,-37.83,140.77,Commodore on the Park
2429,Faanui,PF,79.03,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
2432,Barra Do Garcas,BR,77.2,light rain,-15.89,-52.26,Hotel Pousada Tropical
2433,Cabo Rojo,PR,78.01,overcast clouds,18.09,-67.15,Hotel Perichi's
2436,Cockburn Town,TC,81.21,moderate rain,21.46,-71.14,Osprey Beach Hotel
2440,Barinas,VE,75.2,overcast clouds,8.62,-70.21,Hotel Suites Mastranto
2444,Pochutla,MX,79.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
2459,Sibolga,ID,82.0,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
2461,Keffi,NG,75.2,clear sky,8.85,7.87,Imam Family
2466,Nouakchott,MR,77.0,clear sky,18.09,-15.98,Hôtel Iman
2471,Mana,GF,79.0,clear sky,5.66,-53.78,LE SAMANA
2473,Itarema,BR,81.12,clear sky,-2.92,-39.92,Windvillage
2474,Ranot,TH,83.89,overcast clouds,7.78,100.32,Pakbanglake resort ปากบางเลค รีสอร์ท
2475,Morant Bay,JM,80.6,light rain,17.88,-76.41,Whispering Bamboo Cove Resort
2477,Sinnamary,GF,78.91,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
2483,Samarai,PG,79.41,overcast clouds,-10.62,150.67,Nuli Sapi
2491,Maragogi,BR,76.66,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
2496,Victoria Point,AU,75.99,scattered clouds,-27.58,153.3,Bay Retreat Motel
2500,Nioro,GM,76.44,clear sky,13.35,-15.75,
2501,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
2503,Tuy Hoa,VN,76.33,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
2505,Jizan,SA,80.6,clear sky,17.33,42.67,شهدان. ابوالحجر
2506,Tabou,CI,78.42,light rain,4.42,-7.35,hotêl doufoulougou
2512,Mindelo,CV,77.0,scattered clouds,16.89,-24.98,Hotel Gaudi
2518,Ibung,PH,80.82,heavy intensity rain,16.61,121.19,Corpuz Resort
2520,Japura,ID,84.63,heavy intensity rain,-0.32,102.35,Rumah mbah Jamah
2522,Brownsville,US,75.2,clear sky,25.9,-97.5,Hotel Alameda Express
2523,Eyl,SO,78.57,light rain,7.98,49.82,Amiin Hotel
2524,Progreso,MX,77.0,few clouds,21.28,-89.67,Playa Linda Hotel
2528,Basco,PH,79.23,broken clouds,20.45,121.97,Nathaniel's Lodge
2529,Tarakan,ID,81.57,broken clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
2530,Port Blair,IN,83.16,moderate rain,11.67,92.75,Fortune Resort Bay Island
2531,Koungheul,SN,77.76,clear sky,13.98,-14.8,
2532,Iquitos,PE,77.0,scattered clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
2541,Tevaitoa,PF,79.23,moderate rain,-16.78,-151.5,Hôtel Raiatea Lodge
2542,Kilindoni,TZ,79.25,light rain,-7.91,39.67,Bustani B&B
